,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
0,HEAD OF SCHOOL,1.0,"$ 168,320",Leadership,,K770,2022
1,INTERIM ACTING - ASST. PRINCIPAL,1.0,"$ 15,975",Leadership,,K770,2022
2,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,K770,2022
3,School Secretary,1.0,"$ 54,648",Secretary,,K770,2022
4,Pre K,3.0,"$ 354,750",Classroom Teacher,WHOLE CLASS,K770,2022
5,K,3.0,"$ 249,912",Classroom Teacher,WHOLE CLASS,K770,2022
6,"K,1,2",1.0,"$ 83,304",Classroom Teacher,SELF-CONTAINED SP ED,K770,2022
7,1,1.0,"$ 83,304",Classroom Teacher,ICT - Special Ed Teacher,K770,2022
8,1,2.0,"$ 188,393",Classroom Teacher,WHOLE CLASS,K770,2022
9,1,3.0,"$ 271,697",Classroom Teacher,Sub-Total,K770,2022
10,2,1.0,"$ 83,304",Classroom Teacher,ICT - Special Ed Teacher,K770,2022
11,2,1.0,"$ 18,352",Classroom Teacher,WHOLE CLASS,K770,2022
12,2,2.0,"$ 101,656",Classroom Teacher,Sub-Total,K770,2022
13,3,1.0,"$ 83,304",Classroom Teacher,ICT - General Ed Teacher,K770,2022
14,3,1.0,"$ 83,304",Classroom Teacher,ICT - Special Ed Teacher,K770,2022
15,3,2.0,"$ 166,608",Classroom Teacher,Sub-Total,K770,2022
16,345,1.0,"$ 83,304",Classroom Teacher,SELF-CONTAINED SP ED,K770,2022
17,4,1.0,"$ 83,304",Classroom Teacher,ICT - Special Ed Teacher,K770,2022
18,4,1.0,"$ 83,304",Classroom Teacher,WHOLE CLASS,K770,2022
19,4,2.0,"$ 166,608",Classroom Teacher,Sub-Total,K770,2022
20,5,1.0,"$ 26,824",Classroom Teacher,ICT - Special Ed Teacher,K770,2022
21,5,1.0,"$ 83,304",Classroom Teacher,WHOLE CLASS,K770,2022
22,5,2.0,"$ 110,128",Classroom Teacher,Sub-Total,K770,2022
23,DANCE ALL OTHER,1.0,"$ 90,293",Elementary Cluster/Quota,WHOLE CLASS,K770,2022
24,ESL,1.0,"$ 92,935",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2022
25,MUSIC,1.0,"$ 90,293",Elementary Cluster/Quota,WHOLE CLASS,K770,2022
26,PHYSICAL EDUCATION,1.0,"$ 90,293",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2022
27,OCCUPATIONAL THERAPY,1.0,"$ 64,888",Special Needs - Support Services,PULL-OUT -all students,K770,2022
28,SETSS,1.0,"$ 83,304",Special Needs - Support Services,PUSH IN/PULL OUT,K770,2022
29,SPEECH,1.0,"$ 103,083",Special Needs - Support Services,PULL-OUT -all students,K770,2022
30,Guidance Counselor,1.0,"$ 110,121",Guidance/Social Workers,,K770,2022
31,School Social Worker,1.0,"$ 108,762",Guidance/Social Workers,,K770,2022
32,IEP-CRISIS MANAGEMENT(CIT),4.0,"$ 182,533",Paraprofessionals,,K770,2022
33,IEP-HEALTH,1.0,"$ 32,619",Paraprofessionals,,K770,2022
34,PRE-K,3.0,"$ 199,779",Paraprofessionals,,K770,2022
35,School Aides and Other Support Staff,1.0,"$ 23,675",School Aides and Other Support Staff,,K770,2022
36,504,,"$ 34,838",Per Diem,,K770,2022
37,ABSENCE COVERAGE,,"$ 113,295",Per Diem,,K770,2022
38,CONSULTATION,,"$ 111,770",Per Diem,,K770,2022
39,IEP-CRISIS MANAGEMENT(CIT),,"$ 132,438",Per Diem,,K770,2022
40,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 180,232",Per Session,,K770,2022
41,PARENT INVOLVEMENT,,$ 795,Per Session,,K770,2022
42,PUPIL PERSONNEL SERVICES,,"$ 1,531",Per Session,,K770,2022
43,SUMMER STUDENT PROGRAMS,,$ 0,Per Session,,K770,2022
44,Building Permit Fees,,"$ 1,053",OTPS,,K770,2022
45,Curriculum & Staff Development Contracts,,"$ 1,666",OTPS,,K770,2022
46,Data Processing Repair - Contractual,,"$ 2,784",OTPS,,K770,2022
47,Educational Consultants,,"$ 36,264",OTPS,,K770,2022
48,Educational Software,,$ 487,OTPS,,K770,2022
49,Equipment - General,,$ 488,OTPS,,K770,2022
50,Library Books,,"$ 1,578",OTPS,,K770,2022
51,Non-Contractual Services,,"$ 1,500",OTPS,,K770,2022
52,Supplies - General,,"$ 109,926",OTPS,,K770,2022
53,Textbooks,,"$ 2,100",OTPS,,K770,2022
54,School Funded Copier,,"$ 8,940",Setasides,,K770,2022
55,Temporary Shortfall Payback Set Aside,,"$ 15,088",Setasides,,K770,2022
56,People Working Partial Year,,"$ 117,566",People Working Partial Year,,K770,2022
57,Main School,41.0,"$ 4,017,795",School Site,,K770,2022
58,HEAD OF SCHOOL,1.0,"$ 159,785",Leadership,,K770,2021
59,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,K770,2021
60,School Secretary,1.0,"$ 51,632",Secretary,,K770,2021
61,Pre K,3.0,"$ 337,711",Classroom Teacher,WHOLE CLASS,K770,2021
62,K,1.0,"$ 79,527",Classroom Teacher,ICT - Special Ed Teacher,K770,2021
63,K,3.0,"$ 216,282",Classroom Teacher,WHOLE CLASS,K770,2021
64,K,4.0,"$ 295,809",Classroom Teacher,Sub-Total,K770,2021
65,1,2.0,"$ 159,054",Classroom Teacher,WHOLE CLASS,K770,2021
66,2,1.0,"$ 79,527",Classroom Teacher,ICT - Special Ed Teacher,K770,2021
67,2,1.0,"$ 100,126",Classroom Teacher,WHOLE CLASS,K770,2021
68,2,2.0,"$ 179,653",Classroom Teacher,Sub-Total,K770,2021
69,234,1.0,"$ 79,527",Classroom Teacher,SELF-CONTAINED SP ED,K770,2021
70,3,2.0,"$ 159,054",Classroom Teacher,ICT - Special Ed Teacher,K770,2021
71,3,1.0,"$ 79,527",Classroom Teacher,WHOLE CLASS,K770,2021
72,3,3.0,"$ 238,581",Classroom Teacher,Sub-Total,K770,2021
73,4,1.0,"$ 79,527",Classroom Teacher,ICT - Special Ed Teacher,K770,2021
74,4,1.0,"$ 59,916",Classroom Teacher,WHOLE CLASS,K770,2021
75,4,2.0,"$ 139,443",Classroom Teacher,Sub-Total,K770,2021
76,5,1.0,"$ 79,527",Classroom Teacher,ICT - Special Ed Teacher,K770,2021
77,DANCE ALL OTHER,1.0,"$ 86,136",Elementary Cluster/Quota,WHOLE CLASS,K770,2021
78,ESL,1.0,"$ 90,134",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2021
79,MUSIC,1.0,"$ 86,136",Elementary Cluster/Quota,WHOLE CLASS,K770,2021
80,PHYSICAL EDUCATION,1.0,"$ 86,136",Elementary Cluster/Quota,SUBJECT SPECIFIC,K770,2021
81,SETSS,1.0,"$ 79,527",Special Needs - Support Services,PUSH IN/PULL OUT,K770,2021
82,SPEECH,1.0,"$ 99,109",Special Needs - Support Services,PULL-OUT -all students,K770,2021
83,Guidance Counselor,1.0,"$ 105,721",Guidance/Social Workers,,K770,2021
84,School Social Worker,1.0,"$ 104,088",Guidance/Social Workers,,K770,2021
85,IEP-CRISIS MANAGEMENT(CIT),3.0,"$ 144,812",Paraprofessionals,,K770,2021
86,IEP-TOILETING,1.0,"$ 39,295",Paraprofessionals,,K770,2021
87,PRE-K,3.0,"$ 190,997",Paraprofessionals,,K770,2021
88,School Aides and Other Support Staff,1.0,"$ 38,235",School Aides and Other Support Staff,,K770,2021
89,ABSENCE COVERAGE,,"$ 79,638",Per Diem,,K770,2021
90,IEP-CRISIS MANAGEMENT(CIT),,"$ 97,000",Per Diem,,K770,2021
91,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 50,551",Per Session,,K770,2021
92,Building Permit Fees,,"$ 1,990",OTPS,,K770,2021
93,Curriculum & Staff Development Contracts,,"$ 8,334",OTPS,,K770,2021
94,Data Processing Repair - Contractual,,"$ 8,556",OTPS,,K770,2021
95,Educational Consultants,,"$ 5,000",OTPS,,K770,2021
96,Educational Software,,"$ 1,844",OTPS,,K770,2021
97,Equipment - General,,"$ 3,200",OTPS,,K770,2021
98,Library Books,,"$ 1,509",OTPS,,K770,2021
99,Non-Contractual Services,,"$ 1,500",OTPS,,K770,2021
100,Supplies - General,,"$ 122,572",OTPS,,K770,2021
101,Textbooks,,"$ 8,191",OTPS,,K770,2021
102,School Funded Copier,,"$ 8,940",Setasides,,K770,2021
103,People Working Partial Year,,"$ 89,765",People Working Partial Year,,K770,2021
104,Main School,37.0,"$ 3,403,606",School Site,,K770,2021
105,HEAD OF SCHOOL,1.0,"$ 153,055",Leadership,,K770,2020
106,PARENT COORDINATOR,1.0,"$ 43,558",Coordinator/Supervisor/Dean,,K770,2020
107,SCHOOL SECRETARY,1.0,"$ 48,477",Secretary,,K770,2020
108,Pre K,3.0,"$ 195,578",Classroom Teacher,WHOLE CLASS,K770,2020
109,K,2.0,"$ 151,640",Classroom Teacher,WHOLE CLASS,K770,2020
110,1,1.0,"$ 75,820",Classroom Teacher,ICT - Special Ed Teacher,K770,2020
111,1,3.0,"$ 247,057",Classroom Teacher,WHOLE CLASS,K770,2020
112,1,4.0,"$ 322,877",Classroom Teacher,Sub-Total,K770,2020
113,123,1.0,"$ 75,820",Classroom Teacher,SELF-CONTAINED SP ED,K770,2020
114,2,1.0,"$ 75,820",Classroom Teacher,ICT - Special Ed Teacher,K770,2020
115,2,1.0,"$ 87,382",Classroom Teacher,WHOLE CLASS,K770,2020
116,2,2.0,"$ 163,202",Classroom Teacher,Sub-Total,K770,2020
