,allocation_category,amount,location_code,fiscal_year
0,4K for All,"$ 642,261",K770,2022
1,ARPA Academic Recovery,"$ 72,913",K770,2022
2,ARPA Academic Recovery AP Summer Rising,"$ 17,990",K770,2022
3,ARPA Academic Recovery Arts,"$ 18,228",K770,2022
4,ARPA Academic Recovery SE After-School Instruction,"$ 23,132",K770,2022
5,ARPA Academic Recovery SE Counseling,"$ 2,291",K770,2022
6,ARPA Academic Recovery SE Intervention Training,"$ 2,624",K770,2022
7,ARPA Academic Recovery SE Planning Prep,"$ 2,394",K770,2022
8,ARPA Academic Recovery SE RS Related Services,"$ 11,658",K770,2022
9,ARPA COVID Staffing Support,"$ 128,612",K770,2022
10,ARPA Election Day Remote Planning,"$ 1,597",K770,2022
11,ARPA School COVID Planning Expansion,"$ 12,486",K770,2022
12,Contract for Excellence FY 09,"$ 106,314",K770,2022
13,CRRSA Computer Maintenance,$ 475,K770,2022
14,CRRSA CRSE Arts Studio,$ 642,K770,2022
15,CRRSA ELL/Special Needs Partner Arts Project OTPS,"$ 13,718",K770,2022
16,CRRSA Innovative Education Models,"$ 15,789",K770,2022
17,CRRSA Restoration Arts Studio,"$ 1,628",K770,2022
18,CRRSA Situation Room,"$ 5,808",K770,2022
19,High Need Support for Title I STH,$ 489,K770,2022
20,IC REV Physical Fitness CHAMPS SUPP UA 481/482,"$ 3,024",K770,2022
21,IDEA RS IEP Para,"$ 75,566",K770,2022
22,Rollover Smart Schools Bond Act,"$ 9,482",K770,2022
23,Title I STH for Non Title I Schools,"$ 14,022",K770,2022
24,Title III Translation Services,"$ 2,100",K770,2022
25,Title IV Fall Reopening Planning Grant,"$ 5,520",K770,2022
26,Title IV Well Rounded ELA Math Support,"$ 2,950",K770,2022
27,TL CB School Staff,"$ 22,132",K770,2022
28,TL Champs,"$ 2,376",K770,2022
29,TL City Council Member Items,"$ 10,000",K770,2022
30,TL Computer Maintenance,"$ 2,309",K770,2022
31,TL CRRSA Surplus Rollover,"$ 13,500",K770,2022
32,TL ELA/Math Student Support,"$ 8,540",K770,2022
33,TL ELL/Special Needs Partner Arts Project OTPS,$ 282,K770,2022
34,TL ELL/Special Needs Partner Arts Project PS,"$ 1,296",K770,2022
35,TL Fair Student Funding,"$ 2,066,157",K770,2022
36,TL MOSL,"$ 1,500",K770,2022
37,TL NYSTL Hardware,$ 488,K770,2022
38,TL NYSTL Library Books,"$ 1,578",K770,2022
39,TL NYSTL Software,$ 487,K770,2022
40,TL NYSTL Textbooks,"$ 2,100",K770,2022
41,TL Parent Coordinator,"$ 43,968",K770,2022
42,TL Parent Coordinator OTPS,$ 500,K770,2022
43,TL RS IEP Para,"$ 272,020",K770,2022
44,TL RS Mandated Counseling Shared,"$ 63,011",K770,2022
45,TL RS Mandated Speech Shared,"$ 103,083",K770,2022
46,TL RS Occupational Therapist PS Shared,"$ 81,110",K770,2022
47,TL Section 504,"$ 34,838",K770,2022
48,TL Situation Room,"$ 2,541",K770,2022
49,TL Social Worker Support High Need,"$ 108,762",K770,2022
50,TL Temporary Shortfall Teachers,"$ 15,088",K770,2022
51,TL Translation Services,$ 795,K770,2022
52,4K for All,"$ 612,740",K770,2021
53,Contract for Excellence FY 09,"$ 106,314",K770,2021
54,Funds Pub Schl 91 - PS 770K - OTPS,$ 9,K770,2021
55,Funds Pub Schl 96 - Arnhold Dance Program,"$ 2,500",K770,2021
56,High Need Support for Title I STH,$ 244,K770,2021
57,IDEA RS IEP Para,"$ 70,344",K770,2021
58,Title I STH for Non Title I Schools,"$ 7,147",K770,2021
59,Title I STH for Non Title I Schools Carry Over,"$ 1,120",K770,2021
60,Title III Translation Services,"$ 2,021",K770,2021
61,Title IV Summer Rising Reopening Planning,"$ 2,180",K770,2021
62,Title IV Well Rounded ELA Math Support,"$ 2,572",K770,2021
63,TL Arts Studio,"$ 1,120",K770,2021
64,TL CB School Staff,"$ 19,501",K770,2021
65,TL Champs,"$ 3,133",K770,2021
66,TL City Council Member Items,"$ 10,000",K770,2021
67,TL Computer Maintenance,"$ 8,556",K770,2021
68,TL CRRSA COVID Teacher Support,"$ 54,058",K770,2021
69,TL ELA/Math Student Support,"$ 7,201",K770,2021
70,TL Fair Student Funding,"$ 1,902,382",K770,2021
71,TL FSF Post-IEP Support,$ 497,K770,2021
72,TL Implicit Bias Awareness,"$ 1,165",K770,2021
73,TL Implicit Bias CCER,"$ 2,200",K770,2021
74,TL Instructional Leadership Framework,"$ 18,938",K770,2021
75,TL NYSTL Hardware,"$ 2,624",K770,2021
76,TL NYSTL Library Books,"$ 1,509",K770,2021
77,TL NYSTL Software,"$ 2,420",K770,2021
78,TL NYSTL Textbooks,"$ 8,191",K770,2021
