,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
0,HEAD OF SCHOOL,2.0,"$ 286,436",Leadership,,Q566,2022
1,AP - ORGANIZATION,1.0,"$ 143,356",Leadership,,Q566,2022
2,AP - SUPERVISION,2.0,"$ 310,676",Leadership,,Q566,2022
3,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,Q566,2022
4,F-Status - School Secretary,0.0,"$ 14,797",Secretary,,Q566,2022
5,School Secretary,4.0,"$ 219,055",Secretary,,Q566,2022
6,ENGLISH LANGUAGE ARTS,9.0,"$ 925,801",High School Departments,SUBJECT SPECIFIC,Q566,2022
7,ESL,1.0,"$ 127,809",High School Departments,SUBJECT SPECIFIC,Q566,2022
8,ESL,1.0,"$ 100,089",High School Departments,WHOLE CLASS,Q566,2022
9,ESL,2.0,"$ 227,898",High School Departments,Sub-Total,Q566,2022
10,FL - SPANISH,4.0,"$ 400,356",High School Departments,SUBJECT SPECIFIC,Q566,2022
11,MATH,8.0,"$ 779,663",High School Departments,SUBJECT SPECIFIC,Q566,2022
12,PHYSICAL EDUCATION,8.0,"$ 759,996",High School Departments,SUBJECT SPECIFIC,Q566,2022
13,SCIENCE - BIOLOGY,2.0,"$ 200,178",High School Departments,SUBJECT SPECIFIC,Q566,2022
14,SCIENCE - CHEMISTRY,1.0,"$ 100,089",High School Departments,SUBJECT SPECIFIC,Q566,2022
15,SCIENCE - EARTH SCIENCE,2.0,"$ 200,178",High School Departments,SUBJECT SPECIFIC,Q566,2022
16,SCIENCE - GENERAL SCIENCE,2.0,"$ 200,178",High School Departments,SUBJECT SPECIFIC,Q566,2022
17,SCIENCE - PHYSICS,1.0,"$ 100,089",High School Departments,SUBJECT SPECIFIC,Q566,2022
18,SOCIAL STUDIES,1.0,"$ 100,089",High School Departments,REDUCED CLASS SIZE,Q566,2022
19,SOCIAL STUDIES,9.0,"$ 885,197",High School Departments,SUBJECT SPECIFIC,Q566,2022
20,SOCIAL STUDIES,10.0,"$ 985,286",High School Departments,Sub-Total,Q566,2022
21,SPECIAL EDUCATION,19.0,"$ 1,669,955",High School Departments,ICT - Special Ed Teacher,Q566,2022
22,SPEECH,1.0,"$ 103,083",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2022
23,SPEECH,1.0,"$ 81,765",Special Needs - Support Services,PULL-OUT -all students,Q566,2022
24,SPEECH,2.0,"$ 184,848",Special Needs - Support Services,Sub-Total,Q566,2022
25,Guidance Counselor,4.0,"$ 392,732",Guidance/Social Workers,,Q566,2022
26,Guidance Counselor Bilingual,1.0,"$ 104,218",Guidance/Social Workers,,Q566,2022
27,School Social Worker,1.0,"$ 154,225",Guidance/Social Workers,,Q566,2022
28,School Psychologist,1.0,"$ 108,762",SBST,,Q566,2022
29,CLASSROOM - Special Ed,3.0,"$ 93,684",Paraprofessionals,,Q566,2022
30,IEP-TOILETING,1.0,"$ 22,794",Paraprofessionals,,Q566,2022
31,School Aides and Other Support Staff,3.0,"$ 248,510",School Aides and Other Support Staff,,Q566,2022
32,ABSENCE COVERAGE,,"$ 252,359",Per Diem,,Q566,2022
33,IEP-TOILETING,,"$ 64,665",Per Diem,,Q566,2022
34,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 769,607",Per Session,,Q566,2022
35,PARENT INVOLVEMENT,,"$ 12,274",Per Session,,Q566,2022
36,PROFESSIONAL DEVELOPMENT,,"$ 50,357",Per Session,,Q566,2022
37,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 18,578",Per Session,,Q566,2022
38,Speech - Mandated,,$ 533,Per Session,,Q566,2022
39,SUMMER STUDENT PROGRAMS,,"$ 82,249",Per Session,,Q566,2022
40,Curriculum & Staff Development Contracts,,"$ 60,940",OTPS,,Q566,2022
41,Data Processing Repair - Contractual,,"$ 15,981",OTPS,,Q566,2022
42,Education & Recreation - Youth Services Contracts,,"$ 6,000",OTPS,,Q566,2022
43,Educational Consultants,,"$ 14,750",OTPS,,Q566,2022
44,Educational Software,,"$ 46,153",OTPS,,Q566,2022
45,Equipment - General,,"$ 536,058",OTPS,,Q566,2022
46,Furniture Object 300,,"$ 166,669",OTPS,,Q566,2022
47,Library Books,,"$ 5,997",OTPS,,Q566,2022
48,Non-Contractual Services,,"$ 5,360",OTPS,,Q566,2022
49,Office Temp Services - Contractual,,$ 34,OTPS,,Q566,2022
50,Supplies - General,,"$ 416,141",OTPS,,Q566,2022
51,Textbooks,,"$ 52,300",OTPS,,Q566,2022
52,Transportation of Pupils - Contractual,,"$ 5,000",OTPS,,Q566,2022
53,Transportation of Staff - Non-Contract,,"$ 13,514",OTPS,,Q566,2022
54,School Funded Copier,,"$ 3,245",Setasides,,Q566,2022
55,People Working Partial Year,,"$ 237,055",People Working Partial Year,,Q566,2022
56,Main School,94.0,"$ 11,713,547",School Site,,Q566,2022
57,HEAD OF SCHOOL,1.0,"$ 179,193",Leadership,,Q566,2021
58,AP - ORGANIZATION,1.0,"$ 139,913",Leadership,,Q566,2021
59,AP - SUPERVISION,3.0,"$ 392,972",Leadership,,Q566,2021
60,PARENT COORDINATOR,1.0,"$ 42,649",Coordinator/Supervisor/Dean,,Q566,2021
61,School Secretary,4.0,"$ 252,019",Secretary,,Q566,2021
62,ENGLISH LANGUAGE ARTS,9.0,"$ 887,083",High School Departments,SUBJECT SPECIFIC,Q566,2021
63,ESL,1.0,"$ 123,320",High School Departments,SUBJECT SPECIFIC,Q566,2021
64,FL - SPANISH,4.0,"$ 383,148",High School Departments,SUBJECT SPECIFIC,Q566,2021
65,MATH,9.0,"$ 862,083",High School Departments,SUBJECT SPECIFIC,Q566,2021
66,PHYSICAL EDUCATION,6.0,"$ 574,722",High School Departments,SUBJECT SPECIFIC,Q566,2021
67,SCIENCE - BIOLOGY,2.0,"$ 97,406",High School Departments,SUBJECT SPECIFIC,Q566,2021
68,SCIENCE - EARTH SCIENCE,3.0,"$ 287,361",High School Departments,SUBJECT SPECIFIC,Q566,2021
69,SCIENCE - GENERAL SCIENCE,2.0,"$ 191,574",High School Departments,SUBJECT SPECIFIC,Q566,2021
70,SOCIAL STUDIES,1.0,"$ 95,787",High School Departments,REDUCED CLASS SIZE,Q566,2021
71,SOCIAL STUDIES,8.0,"$ 766,296",High School Departments,SUBJECT SPECIFIC,Q566,2021
72,SOCIAL STUDIES,9.0,"$ 862,083",High School Departments,Sub-Total,Q566,2021
73,SPECIAL EDUCATION,14.0,"$ 1,245,231",High School Departments,ICT - Special Ed Teacher,Q566,2021
74,OCCUPATIONAL THERAPY,1.0,"$ 78,516",Special Needs - Support Services,PULL-OUT -all students,Q566,2021
75,SETSS,1.0,"$ 95,787",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2021
76,SPEECH,1.0,"$ 99,109",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2021
77,SPEECH,1.0,"$ 99,109",Special Needs - Support Services,PULL-OUT -all students,Q566,2021
78,SPEECH,2.0,"$ 198,218",Special Needs - Support Services,Sub-Total,Q566,2021
79,Guidance Counselor,4.0,"$ 381,200",Guidance/Social Workers,,Q566,2021
80,Guidance Counselor Bilingual,1.0,"$ 100,050",Guidance/Social Workers,,Q566,2021
81,DC 37 Para More Than 20 Hrs,0.0,"$ 40,032",SBST,,Q566,2021
82,School Psychologist,1.0,"$ 104,088",SBST,,Q566,2021
83,CLASSROOM - Special Ed,1.0,"$ 5,442",Paraprofessionals,,Q566,2021
84,School Aides and Other Support Staff,1.0,"$ 183,953",School Aides and Other Support Staff,,Q566,2021
85,ABSENCE COVERAGE,,"$ 252,554",Per Diem,,Q566,2021
86,CONSULTATION,,"$ 12,592",Per Diem,,Q566,2021
87,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 411,284",Per Session,,Q566,2021
88,PARENT INVOLVEMENT,,"$ 10,000",Per Session,,Q566,2021
89,PROFESSIONAL DEVELOPMENT,,"$ 37,962",Per Session,,Q566,2021
90,Curriculum & Staff Development Contracts,,"$ 113,491",OTPS,,Q566,2021
91,Data Processing Repair - Contractual,,"$ 24,242",OTPS,,Q566,2021
92,Educational Software,,"$ 93,620",OTPS,,Q566,2021
93,Equipment - General,,"$ 115,449",OTPS,,Q566,2021
94,Furniture Object 300,,"$ 50,000",OTPS,,Q566,2021
95,Library Books,,"$ 6,322",OTPS,,Q566,2021
96,Non-Contractual Services,,"$ 43,168",OTPS,,Q566,2021
97,Office Temp Services - Contractual,,"$ 2,000",OTPS,,Q566,2021
98,Professional Services Other,,"$ 20,822",OTPS,,Q566,2021
99,Supplies - General,,"$ 214,400",OTPS,,Q566,2021
100,Telecommunication Contracts,,"$ 11,889",OTPS,,Q566,2021
101,School Funded Copier,,"$ 10,684",Setasides,,Q566,2021
102,Not Available,,"$ 4,620",Sixth period coverage,,Q566,2021
103,People Working Partial Year,,"$ 228,102",People Working Partial Year,,Q566,2021
104,Main School,81.0,"$ 9,371,244",School Site,,Q566,2021
105,HEAD OF SCHOOL,1.0,"$ 170,397",Leadership,,Q566,2020
106,AP - ORGANIZATION,1.0,"$ 134,021",Leadership,,Q566,2020
107,AP - SUPERVISION,3.0,"$ 375,870",Leadership,,Q566,2020
108,PARENT COORDINATOR,1.0,"$ 37,879",Coordinator/Supervisor/Dean,,Q566,2020
109,SCHOOL SECRETARY,4.0,"$ 236,248",Secretary,,Q566,2020
110,ENGLISH LANGUAGE ARTS,10.0,"$ 881,454",High School Departments,SUBJECT SPECIFIC,Q566,2020
111,ESL,1.0,"$ 119,550",High School Departments,SUBJECT SPECIFIC,Q566,2020
112,FL - SPANISH,4.0,"$ 368,220",High School Departments,SUBJECT SPECIFIC,Q566,2020
113,MATH,9.0,"$ 779,724",High School Departments,SUBJECT SPECIFIC,Q566,2020
114,PHYSICAL EDUCATION,6.0,"$ 552,330",High School Departments,SUBJECT SPECIFIC,Q566,2020
115,SCIENCE - BIOLOGY,3.0,"$ 276,165",High School Departments,SUBJECT SPECIFIC,Q566,2020
116,SCIENCE - EARTH SCIENCE,3.0,"$ 276,165",High School Departments,SUBJECT SPECIFIC,Q566,2020
117,SCIENCE - GENERAL SCIENCE,2.0,"$ 184,110",High School Departments,SUBJECT SPECIFIC,Q566,2020
118,SOCIAL STUDIES,1.0,"$ 92,055",High School Departments,REDUCED CLASS SIZE,Q566,2020
119,SOCIAL STUDIES,8.0,"$ 736,440",High School Departments,SUBJECT SPECIFIC,Q566,2020
120,SOCIAL STUDIES,9.0,"$ 828,495",High School Departments,Sub-Total,Q566,2020
121,SPECIAL EDUCATION,14.0,"$ 1,288,770",High School Departments,ICT - Special Ed Teacher,Q566,2020
122,OCCUPATIONAL THERAPY,1.0,"$ 77,181",Special Needs - Support Services,PULL-OUT -all students,Q566,2020
123,SETSS,1.0,"$ 92,055",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2020
124,SPEECH,1.0,"$ 96,693",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2020
125,SPEECH,1.0,"$ 11,526",Special Needs - Support Services,PULL-OUT -all students,Q566,2020
126,SPEECH,2.0,"$ 108,219",Special Needs - Support Services,Sub-Total,Q566,2020
127,GUIDANCE COUNSELOR,4.0,"$ 336,834",Guidance/Social Workers,,Q566,2020
128,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 90,624",Guidance/Social Workers,,Q566,2020
129,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 40,501",SBST,,Q566,2020
130,SCHOOL PSYCHOLOGIST,1.0,"$ 103,102",SBST,,Q566,2020
131,School Aides and Other Support Staff,1.0,"$ 234,987",School Aides and Other Support Staff,,Q566,2020
132,ABSENCE COVERAGE,,"$ 4,525",Per Diem,,Q566,2020
133,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 218,203",Per Session,,Q566,2020
134,SUMMER STUDENT PROGRAMS,,"$ 45,907",Per Session,,Q566,2020
135,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 43,761",OTPS,,Q566,2020
136,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 24,242",OTPS,,Q566,2020
137,EDUC. & REC. FOR YOUTH SVCS CONTRACTS,,$ 962,OTPS,,Q566,2020
138,EDUCATIONAL CONSULTANTS,,"$ 19,360",OTPS,,Q566,2020
139,EDUCATIONAL SOFTWARE,,"$ 11,852",OTPS,,Q566,2020
140,EQUIPMENT - GENERAL,,"$ 21,103",OTPS,,Q566,2020
141,LIBRARY BOOKS,,"$ 6,568",OTPS,,Q566,2020
142,NON-CONTRACTUAL SERVICES,,"$ 29,827",OTPS,,Q566,2020
143,PRINTING SERVICES - CONTRACTUAL,,"$ 4,000",OTPS,,Q566,2020
144,SUPPLIES - GENERAL,,"$ 76,133",OTPS,,Q566,2020
145,TEXTBOOKS,,"$ 40,803",OTPS,,Q566,2020
146,TRANSPORTATION OF PUPILS - CONTRACTUAL,,"$ 6,000",OTPS,,Q566,2020
147,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 1,000",OTPS,,Q566,2020
148,Not Available,,"$ 2,641",Sixth period coverage,,Q566,2020
149,People Working Partial Year,,"$ 217,422",People Working Partial Year,,Q566,2020
150,Main School,82.0,"$ 8,367,210",School Site,,Q566,2020
151,HEAD OF SCHOOL,1.0,"$ 164,434",Leadership,,Q566,2019
152,AP - ORGANIZATION,1.0,"$ 130,886",Leadership,,Q566,2019
153,AP - SUPERVISION,3.0,"$ 368,251",Leadership,,Q566,2019
154,PARENT COORDINATOR,1.0,"$ 28,567",Coordinator/Supervisor/Dean,,Q566,2019
155,SCHOOL SECRETARY,2.0,"$ 122,670",Secretary,,Q566,2019
156,SUB ASSG - SCHOOL SECRETARY,1.0,"$ 46,103",Secretary,,Q566,2019
157,Arts - Performing,0.0,"$ 4,703",High School Departments,SUBJECT SPECIFIC,Q566,2019
158,ENGLISH LANGUAGE ARTS,10.0,"$ 941,480",High School Departments,SUBJECT SPECIFIC,Q566,2019
159,ESL,1.0,"$ 116,895",High School Departments,SUBJECT SPECIFIC,Q566,2019
160,FL - SPANISH,4.0,"$ 357,660",High School Departments,SUBJECT SPECIFIC,Q566,2019
161,MATH,8.0,"$ 684,320",High School Departments,SUBJECT SPECIFIC,Q566,2019
162,PHYSICAL EDUCATION,6.0,"$ 536,490",High School Departments,SUBJECT SPECIFIC,Q566,2019
163,SCIENCE - BIOLOGY,3.0,"$ 268,245",High School Departments,SUBJECT SPECIFIC,Q566,2019
164,SCIENCE - EARTH SCIENCE,3.0,"$ 268,245",High School Departments,SUBJECT SPECIFIC,Q566,2019
165,SCIENCE - GENERAL SCIENCE,2.0,"$ 178,830",High School Departments,SUBJECT SPECIFIC,Q566,2019
166,SOCIAL STUDIES,1.0,"$ 89,415",High School Departments,REDUCED CLASS SIZE,Q566,2019
167,SOCIAL STUDIES,8.0,"$ 670,613",High School Departments,SUBJECT SPECIFIC,Q566,2019
168,SOCIAL STUDIES,9.0,"$ 760,028",High School Departments,Sub-Total,Q566,2019
169,SPECIAL EDUCATION,13.0,"$ 1,131,100",High School Departments,ICT - Special Ed Teacher,Q566,2019
170,SPECIAL EDUCATION,1.0,"$ 89,415",High School Departments,PULL-OUT - Special Ed,Q566,2019
171,SPECIAL EDUCATION,14.0,"$ 1,220,515",High School Departments,Sub-Total,Q566,2019
172,OCCUPATIONAL THERAPY,1.0,"$ 75,145",Special Needs - Support Services,PULL-OUT -all students,Q566,2019
173,SPEECH,1.0,"$ 93,637",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2019
174,SPEECH,1.0,"$ 93,637",Special Needs - Support Services,PULL-OUT -all students,Q566,2019
175,SPEECH,2.0,"$ 187,274",Special Needs - Support Services,Sub-Total,Q566,2019
176,GUIDANCE COUNSELOR,3.0,"$ 209,655",Guidance/Social Workers,,Q566,2019
177,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 80,675",Guidance/Social Workers,,Q566,2019
178,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 38,696",SBST,,Q566,2019
179,SCHOOL PSYCHOLOGIST,1.0,"$ 99,227",SBST,,Q566,2019
180,ACCOMMODATION PARA,0.0,"$ 2,000",Paraprofessionals,,Q566,2019
181,IEP-HEALTH,4.0,"$ 177,399",Paraprofessionals,,Q566,2019
182,School Aides and Other Support Staff,1.0,"$ 186,715",School Aides and Other Support Staff,,Q566,2019
183,ABSENCE COVERAGE,,"$ 259,148",Per Diem,,Q566,2019
184,IEP-HEALTH,,"$ 3,502",Per Diem,,Q566,2019
185,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 255,864",Per Session,,Q566,2019
186,PROFESSIONAL DEVELOPMENT,,"$ 8,400",Per Session,,Q566,2019
187,SUMMER STUDENT PROGRAMS,,"$ 62,383",Per Session,,Q566,2019
188,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 73,600",OTPS,,Q566,2019
189,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 25,605",OTPS,,Q566,2019
190,EDUC. & REC. FOR YOUTH SVCS CONTRACTS,,$ 974,OTPS,,Q566,2019
191,EDUCATIONAL CONSULTANTS,,"$ 48,945",OTPS,,Q566,2019
192,EDUCATIONAL SOFTWARE,,"$ 14,150",OTPS,,Q566,2019
193,EQUIPMENT - GENERAL,,"$ 16,538",OTPS,,Q566,2019
194,INTERNAL DOE SERVICES,,"$ 15,026",OTPS,,Q566,2019
195,LIBRARY BOOKS,,"$ 6,703",OTPS,,Q566,2019
196,NON-CONTRACTUAL SERVICES,,"$ 18,392",OTPS,,Q566,2019
197,OFFICE TEMP SERVICES - CONTRACTUAL,,"$ 13,000",OTPS,,Q566,2019
198,SUPPLIES - GENERAL,,"$ 122,345",OTPS,,Q566,2019
199,TEXTBOOKS,,"$ 68,308",OTPS,,Q566,2019
200,TRANSPORTATION OF PUPILS - CONTRACTUAL,,"$ 2,000",OTPS,,Q566,2019
201,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 6,493",OTPS,,Q566,2019
202,Not Available,,"$ 34,382",Sixth period coverage,,Q566,2019
203,People Working Partial Year,,"$ 305,369",People Working Partial Year,,Q566,2019
204,CB GE All Other Salaries Set Aside,,"$ 10,414",Setasides,,Q566,2019
205,CB GE Classroom Teachers Set Aside,,"$ 44,443",Setasides,,Q566,2019
206,CB GE Pupil Support Services Set Aside,,"$ 2,530",Setasides,,Q566,2019
207,CB SE All Other Salaries Set Aside,,"$ 4,580",Setasides,,Q566,2019
208,CB SE Classroom Teachers Set Aside,,"$ 1,762",Setasides,,Q566,2019
209,CB SE Pupil Support Services Set Aside,,"$ 19,688",Setasides,,Q566,2019
210,School Funded Copier,,"$ 1,440",Setasides,,Q566,2019
211,Main School,82.0,"$ 8,701,092",School Site,,Q566,2019
212,HEAD OF SCHOOL,1.0,"$ 152,855",Leadership,,Q566,2018
213,AP - ORGANIZATION,1.0,"$ 121,342",Leadership,,Q566,2018
214,AP - SUPERVISION,3.0,"$ 347,852",Leadership,,Q566,2018
215,SCHOOL SECRETARY,4.0,"$ 202,900",Secretary,,Q566,2018
216,ARTS,0.0,"$ 16,160",High School Departments,SUBJECT SPECIFIC,Q566,2018
217,ENGLISH LANGUAGE ARTS,9.0,"$ 803,033",High School Departments,SUBJECT SPECIFIC,Q566,2018
218,ESL,1.0,"$ 109,158",High School Departments,SUBJECT SPECIFIC,Q566,2018
219,FL - SPANISH,4.0,"$ 344,544",High School Departments,SUBJECT SPECIFIC,Q566,2018
220,MATH,2.0,"$ 172,272",High School Departments,REDUCED CLASS SIZE,Q566,2018
221,MATH,6.0,"$ 462,654",High School Departments,SUBJECT SPECIFIC,Q566,2018
222,MATH,1.0,"$ 86,136",High School Departments,WHOLE CLASS,Q566,2018
223,MATH,9.0,"$ 721,062",High School Departments,Sub-Total,Q566,2018
224,PHYSICAL EDUCATION,6.0,"$ 516,816",High School Departments,SUBJECT SPECIFIC,Q566,2018
225,SCIENCE - BIOLOGY,2.0,"$ 172,272",High School Departments,SUBJECT SPECIFIC,Q566,2018
226,SCIENCE - CHEMISTRY,1.0,"$ 86,136",High School Departments,SUBJECT SPECIFIC,Q566,2018
227,SCIENCE - EARTH SCIENCE,2.0,"$ 172,272",High School Departments,SUBJECT SPECIFIC,Q566,2018
228,SCIENCE - GENERAL SCIENCE,3.0,"$ 258,408",High School Departments,SUBJECT SPECIFIC,Q566,2018
229,SOCIAL STUDIES,1.0,"$ 86,136",High School Departments,REDUCED CLASS SIZE,Q566,2018
230,SOCIAL STUDIES,7.0,"$ 602,952",High School Departments,SUBJECT SPECIFIC,Q566,2018
231,SOCIAL STUDIES,1.0,"$ 86,136",High School Departments,WHOLE CLASS,Q566,2018
232,SOCIAL STUDIES,9.0,"$ 775,224",High School Departments,Sub-Total,Q566,2018
233,SPECIAL EDUCATION,11.0,"$ 947,496",High School Departments,ICT - Special Ed Teacher,Q566,2018
234,SPECIAL EDUCATION,1.0,"$ 86,136",High School Departments,PULL-OUT - Special Ed,Q566,2018
235,SPECIAL EDUCATION,12.0,"$ 1,033,632",High School Departments,Sub-Total,Q566,2018
236,OCCUPATIONAL THERAPY,1.0,"$ 72,148",Special Needs - Support Services,PULL-OUT -all students,Q566,2018
237,SPEECH,1.0,"$ 90,166",Special Needs - Support Services,PULL-OUT - Special Ed,Q566,2018
238,GUIDANCE COUNSELOR,3.0,"$ 258,358",Guidance/Social Workers,,Q566,2018
239,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 72,966",Guidance/Social Workers,,Q566,2018
240,TEACHER - ATTENDANCE,1.0,"$ 130,303",Guidance/Social Workers,,Q566,2018
241,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 37,621",SBST,,Q566,2018
242,SCHOOL PSYCHOLOGIST,1.0,"$ 115,741",SBST,,Q566,2018
243,IEP-HEALTH,6.0,"$ 245,146",Paraprofessionals,,Q566,2018
244,IEP-TOILETING,1.0,"$ 30,407",Paraprofessionals,,Q566,2018
245,School Aides and Other Support Staff,2.0,"$ 249,642",School Aides and Other Support Staff,,Q566,2018
246,ABSENCE COVERAGE,,"$ 79,501",Per Diem,,Q566,2018
247,IEP-HEALTH,,"$ 1,906",Per Diem,,Q566,2018
248,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 200,548",Per Session,,Q566,2018
249,PARENT INVOLVEMENT,,"$ 11,450",Per Session,,Q566,2018
250,SUMMER STUDENT PROGRAMS,,"$ 60,392",Per Session,,Q566,2018
251,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 45,915",OTPS,,Q566,2018
252,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 17,437",OTPS,,Q566,2018
253,EDUC. & REC. FOR YOUTH SVCS CONTRACTS,,"$ 1,200",OTPS,,Q566,2018
254,EDUCATIONAL CONSULTANTS,,"$ 47,050",OTPS,,Q566,2018
255,EDUCATIONAL SOFTWARE,,"$ 3,000",OTPS,,Q566,2018
256,EQUIPMENT - GENERAL,,"$ 67,953",OTPS,,Q566,2018
257,FURNITURE (OBJECT 300),,$ 1,OTPS,,Q566,2018
258,INTERNAL DOE SERVICES,,"$ 13,987",OTPS,,Q566,2018
259,LIBRARY BOOKS,,"$ 6,919",OTPS,,Q566,2018
260,NON-CONTRACTUAL SERVICES,,"$ 2,400",OTPS,,Q566,2018
261,OFFICE TEMP SERVICES - CONTRACTUAL,,"$ 1,538",OTPS,,Q566,2018
262,SUPPLIES - GENERAL,,"$ 38,955",OTPS,,Q566,2018
263,TEXTBOOKS,,"$ 18,723",OTPS,,Q566,2018
264,TRANSPORTATION OF PUPILS - CONTRACTUAL,,"$ 1,300",OTPS,,Q566,2018
265,TRANSPORTATION OF PUPILS - OTHER,,"$ 2,550",OTPS,,Q566,2018
266,Not Available,,"$ 19,544",Sixth period coverage,,Q566,2018
267,People Working Partial Year,,"$ 199,716",People Working Partial Year,,Q566,2018
268,School Funded Copier,,"$ 9,480",Setasides,,Q566,2018
269,Main School,84.0,"$ 7,987,629",School Site,,Q566,2018
