,memorandum_category,galaxy_title
0,Deferred Program Planning Initiative (DPPI) ,TL Deferred Program Planning Initiative D79
1,Deferred Program Planning Initiative (DPPI) ,TL Deferred Program Planning Initiative
2,Deferred Program Planning Initiative (DPPI) ,TL Deferred Program Planning Initiative (HS/CW/D79)
3,Arts Supplemental Funding thru Fair Student Funding,TL Fair Student Funding
4,Arts Supplemental Funding thru Fair Student Funding,TL Fair Student Funding HS
5,ELA and Math Supplemental Support Services,TL ELA/Math Student Support
6,Contracts for Excellence (C4E) Discretionary Allocations to Schools,Contract for Excellence FY09 HS
7,Contracts for Excellence (C4E) Discretionary Allocations to Schools,Contract for Excellence FY09
8,Collective Bargaining for School Based Staff,TL CB School Staff D88
9,Title I School Allocations,TL CB School Staff
10,Parent Coordinator Allocation,TL Parent Coordinator HS
11,Parent Coordinator Allocation,TL Parent Coordinator OTPS CW
12,Parent Coordinator Allocation,TL Parent Coordinator HS – Flexible
13,Parent Coordinator Allocation,TL Parent Coordinator CW
14,Parent Coordinator Allocation,TL Parent Coordinator OTPS HS
15,Parent Coordinator Allocation,TL Parent Coordinator OTPS
16,Parent Coordinator Allocation,TL Parent Coordinator
17,Parent Coordinator Allocation,TL Parent Coordinator HS - Contracted
18,Parent Coordinator Allocation,TL Parent Coordinator - Contracted
19,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Library Books HS
20,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Software HS
21,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Textbooks CW
22,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Hardware
23,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Hardware HS
24,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Library Books CW
25,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Software
26,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Textbooks HS
27,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Library Books
28,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Textbooks
29,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Hardware CW
30,"New York State Textbook Law (NYSTL), Library, Hardware and Computer Software (NYSSL) Funds",TL NYSTL Software CW
31,Career and Technical Education Supplement,TL CTE Programs HS
32,Individualized Education Program (IEP)/Intervention Teacher Allocation,TL RS IEP TEACHER
33,Individualized Education Program (IEP)/Intervention Teacher Allocation,TL RS IEP TEACHER HS.
34,Individualized Education Program (IEP) Paraprofessional Allocation,TL RS IEP Para
35,Individualized Education Program (IEP) Paraprofessional Allocation,IDEA RS IEP Para
36,Individualized Education Program (IEP) Paraprofessional Allocation,TL CFES Open Schools Paras
37,Adapted Physical Education,TL RS APE Teacher Shared
38,"Specialized Programs - (ASD, BSE, ACES, Access)",TL Summer in the City ASD
39,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program ICT Literacy
40,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program ACES
41,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program Access
42,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program BSE
43,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Programs C4E ASD
44,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Programs ASD
45,"Specialized Programs - (ASD, BSE, ACES, Access)",TL SE Specialized Program Mixed Group
46,Supports for Citywide Special Education,TL Vision and Hearing Coverage
47,Supports for Citywide Special Education,TL Part Time Inclusion
48,Continuous Improvement Programs,TL CB School Staff
49,Title IV Programs,Rollover Title IV Community Coordinator
50,Title IV Programs,Title IV ED Tech.
51,Title IV Programs,Title IV Community Coordinator
52,Title IV Programs,Title IV Community Schools
53,Title IV Programs,Title IV Well Rounded
54,OTPS for New Schools,TL OTPS New Schools
55,OTPS for New Schools,TL OTPS New Schools HS
56,Pre-K and 3-K for All in Pre-K Center Programs,Pre-K Medicaid Speech Providers
57,Pre-K and 3-K for All in Pre-K Center Programs,4-K Pre-K Center
58,Pre-K and 3-K for All in Pre-K Center Programs,RS Pre-K Special Classes  
59,Pre-K and 3-K for All in Pre-K Center Programs,3-K Pre-K Center
60,Pre-K and 3-K for All in Pre-K Center Programs,Pre-K SCIS Classes
61,Robin Hood Libraries,TL Robin Hood Libraries
62,School Support Supplement,School Support Supplement
63,Title IIA Supplement,Title IIA Supplemental
64,Title IIA Supplement,School Support Supplement
65,District 75 Special Education Citywide Programs,TL RS ESL CW
66,District 75 Special Education Citywide Programs,TL RS Therapist OTPS CW
67,District 75 Special Education Citywide Programs,TL Supplemental Instructional Support CW
68,District 75 Special Education Citywide Programs,TL COACH CW
69,District 75 Special Education Citywide Programs,TL RS Related Services CW
70,District 75 Special Education Citywide Programs,TL Project Arts CW
71,District 75 Special Education Citywide Programs,TL RS OT CW
72,District 75 Special Education Citywide Programs,TL RS IEP Para CW
73,District 75 Special Education Citywide Programs,TL RS Pre-K Related Services CW
74,District 75 Special Education Citywide Programs,TL RS BUS PARAS CW
75,District 75 Special Education Citywide Programs,TL RS Attendance CW
76,District 75 Special Education Citywide Programs,TL Specialized Equipment CW
77,District 75 Special Education Citywide Programs,TL Home and Hospital
78,District 75 Special Education Citywide Programs,IDEA RS IEP Para CW
